,HomeTeam,AwayTeam,Results
186,Man United,Huddersfield,1
187,Tottenham,Bournemouth,1
188,Watford,Chelsea,2
189,Southampton,West Ham,2
190,Brighton,Everton,1
191,Fulham,Huddersfield,1
192,Leicester,Cardiff,2
193,Liverpool,Arsenal,1
194,Tottenham,Wolves,2
195,Watford,Newcastle,0
196,Burnley,West Ham,1
197,Crystal Palace,Chelsea,2
198,Man United,Bournemouth,1
199,Southampton,Man City,2
200,Arsenal,Fulham,1
201,Cardiff,Tottenham,2
202,Everton,Leicester,2
203,Bournemouth,Watford,0
204,Chelsea,Southampton,0
205,Huddersfield,Burnley,2
206,Newcastle,Man United,2
207,West Ham,Brighton,0
208,Wolves,Crystal Palace,2
209,Man City,Liverpool,1
210,Brighton,Liverpool,2
211,Burnley,Fulham,1
212,Cardiff,Huddersfield,0
213,Chelsea,Newcastle,1
214,Crystal Palace,Watford,2
215,Leicester,Southampton,2
216,West Ham,Arsenal,1
217,Everton,Bournemouth,1
218,Tottenham,Man United,2
219,Man City,Wolves,1
220,Arsenal,Chelsea,1
221,Bournemouth,West Ham,1
222,Liverpool,Crystal Palace,1
223,Man United,Brighton,1
224,Newcastle,Cardiff,1
225,Southampton,Everton,1
226,Watford,Burnley,0
227,Wolves,Leicester,1
228,Fulham,Tottenham,2
229,Huddersfield,Man City,2
230,Arsenal,Cardiff,1
231,Fulham,Brighton,1
232,Huddersfield,Everton,2
233,Man United,Burnley,0
234,Newcastle,Man City,1
235,Wolves,West Ham,1
236,Bournemouth,Chelsea,1
237,Liverpool,Leicester,0
238,Southampton,Crystal Palace,0
239,Tottenham,Watford,1
240,Brighton,Watford,0
241,Burnley,Southampton,0
242,Cardiff,Bournemouth,1
243,Chelsea,Huddersfield,1
244,Crystal Palace,Fulham,1
245,Everton,Wolves,2
246,Tottenham,Newcastle,1
247,Leicester,Man United,2
248,Man City,Arsenal,1
249,West Ham,Liverpool,0
250,Everton,Man City,2
251,Brighton,Burnley,2
252,Crystal Palace,West Ham,0
253,Fulham,Man United,2
254,Huddersfield,Arsenal,2
255,Liverpool,Bournemouth,1
256,Southampton,Cardiff,2
257,Watford,Everton,1
258,Man City,Chelsea,1
259,Tottenham,Leicester,1
260,Wolves,Newcastle,0
261,Cardiff,Watford,2
262,West Ham,Fulham,1
263,Bournemouth,Wolves,0
264,Burnley,Tottenham,1
265,Leicester,Crystal Palace,2
266,Newcastle,Huddersfield,1
267,Arsenal,Southampton,1
268,Man United,Liverpool,0
269,Cardiff,Everton,2
270,Huddersfield,Wolves,1
271,Leicester,Brighton,1
272,Newcastle,Burnley,1
